501 100
0 1 100
173 325 401322
130 204 680429
433 343 44205
1 459 53989800
98 128 -157143
270 162 -25219
38 16 350144
450 385 -534903
1 281 -218814
32 348 94858
93 274 -179803
481 197 -561543
55 357 -883944
121 23 -342768
274 173 17319800
409 22 -317358
269 178 717595
237 373 609305
90 19 -627172
333 116 -670385
84 124 56278
341 332 754017
226 159 654216
96 150 -684773
134 46 -538307
443 426 670279
379 130 -492535
278 385 698370
319 387 -991580
487 38 260367
121 410 -365460
249 260 -755870
434 443 627183
154 151 56640
31 284 179447
470 152 -674925
53 170 -42065
361 206 628700
499 89 -893076
344 314 577253
172 260 905629
351 140 659282
163 270 -501728
388 480 587426
340 394 -355195
138 398 -783855
378 245 581168
45 189 -568295
44 403 -886298
499 269 148107
331 67 320987
196 155 -821673
351 396 291731
389 274 -167178
336 46 878179
57 353 552406
227 208 274928
31 181 722926
267 397 986088
283 252 -637257
22 203 -165154
12 280 437211
232 16 -798166
53 350 277025
463 390 316456
369 287 -901720
294 38 879931
218 165 -515578
307 27 963271
104 313 -19092
474 278 707575
97 133 451010
278 254 -870978
141 12 -730744
90 175 -807938
12 233 40265
242 251 -662030
36 252 224091
494 191 210918
218 124 -93272
277 1 441891
57 95 698885
234 110 -786860
63 71 -210516
103 288 924374
299 287 582100
339 377 625789
210 399 918004
24 459 535105
439 352 90470
51 160 477541
12 286 -270389
313 164 -232574
471 63 401128
489 209 830089
153 249 903090
97 186 -459903
7 81 523860
467 41 42743
